ion_id,frame,ionic_force,ionic_force_magnitude,ionic_motion_component,cosine_ionic_motion,radial_force,axial_force,motion_vector,contributing_ion,contrib_force,contrib_magnitude,contrib_distance,contrib_cosine_with_motion,contrib_motion_component,contrib_before_closest_residue,contrib_closest_residue,contrib_next_closest_residue
1307,5178,"[-0.5532672293484211, 0.28407424688339233, -8.042064785957336]",8.066077660570116,7.079835093630851,0.8777295969067627,0.6219347271323936,-8.042064785957336,"[0.6336288452148438, -1.4450759887695312, -3.3725357055664062]",1320,"[-0.008810419589281082, -2.18619704246521, -2.864572048187256]",3.603513479232788,9.598557472229004,0.9550714863493811,3.441612809865843,130,130,130
1307,5178,"[-0.5532672293484211, 0.28407424688339233, -8.042064785957336]",8.066077660570116,7.079835093630851,0.8777295969067627,0.6219347271323936,-8.042064785957336,"[0.6336288452148438, -1.4450759887695312, -3.3725357055664062]",1309,"[-0.2788090407848358, 0.07740062475204468, -1.6099847555160522]",1.6357800960540771,14.246447563171387,0.8441143479128079,1.3807853790020852,,,
1307,5178,"[-0.5532672293484211, 0.28407424688339233, -8.042064785957336]",8.066077660570116,7.079835093630851,0.8777295969067627,0.6219347271323936,-8.042064785957336,"[0.6336288452148438, -1.4450759887695312, -3.3725357055664062]",1308,"[0.6154102087020874, 1.285620093345642, -2.1181087493896484]",2.5530245304107666,11.403589248657227,0.597050028512469,1.5242832717107007,1105,1105,1105
1307,5178,"[-0.5532672293484211, 0.28407424688339233, -8.042064785957336]",8.066077660570116,7.079835093630851,0.8777295969067627,0.6219347271323936,-8.042064785957336,"[0.6336288452148438, -1.4450759887695312, -3.3725357055664062]",1306,"[-0.8810579776763916, 1.1072505712509155, -1.4493992328643799]",2.025592565536499,12.802447319030762,0.361945199579535,0.7331534948783407,780,780,780
1306,5552,"[2.1177535615861416, 1.4151039516436867, -12.508464455604553]",12.765151091103109,12.519729775695073,0.9807741158990991,2.5470373655618728,-12.508464455604553,"[-0.22468185424804688, 0.5847549438476562, -10.533576965332031]",2443,"[-0.05633280798792839, 0.0005689358222298324, -1.5595158338546753]",1.560533046722412,14.585877418518066,0.9983744478347512,1.5579963044784833,,,
1306,5552,"[2.1177535615861416, 1.4151039516436867, -12.508464455604553]",12.765151091103109,12.519729775695073,0.9807741158990991,2.5470373655618728,-12.508464455604553,"[-0.22468185424804688, 0.5847549438476562, -10.533576965332031]",2444,"[0.07805076986551285, -0.4003472626209259, -3.418886423110962]",3.443131446838379,9.819564819335938,0.9842810911257656,3.3890091870015135,,,
1306,5552,"[2.1177535615861416, 1.4151039516436867, -12.508464455604553]",12.765151091103109,12.519729775695073,0.9807741158990991,2.5470373655618728,-12.508464455604553,"[-0.22468185424804688, 0.5847549438476562, -10.533576965332031]",2434,"[-1.893072247505188, -3.221282482147217, -2.009432315826416]",4.242428779602051,8.846302032470703,0.4402401306434588,1.8676873818077955,423,455,455
1306,5552,"[2.1177535615861416, 1.4151039516436867, -12.508464455604553]",12.765151091103109,12.519729775695073,0.9807741158990991,2.5470373655618728,-12.508464455604553,"[-0.22468185424804688, 0.5847549438476562, -10.533576965332031]",1469,"[1.36846923828125, 8.766291618347168, -3.4916884899139404]",9.53480339050293,5.90083122253418,0.41345172717657275,3.9421807048049224,780,780,780
1306,5552,"[2.1177535615861416, 1.4151039516436867, -12.508464455604553]",12.765151091103109,12.519729775695073,0.9807741158990991,2.5470373655618728,-12.508464455604553,"[-0.22468185424804688, 0.5847549438476562, -10.533576965332031]",1309,"[2.620638608932495, -3.7301268577575684, -2.0289413928985596]",4.989809513092041,8.156936645507812,0.3532913110586681,1.7628562489630988,130,130,130
1305,3171,"[-7.105156570672989, 3.772146485745907, -10.829389691352844]",13.490293550952922,9.420667743416777,0.6983293364102758,8.044397988892813,-10.829389691352844,"[0.1897125244140625, -1.108856201171875, -4.796470642089844]",1313,"[-0.2596032917499542, 0.0863218829035759, -1.6720675230026245]",1.6943007707595825,13.998250961303711,0.9434373863163675,1.5984667008887206,,,
1305,3171,"[-7.105156570672989, 3.772146485745907, -10.829389691352844]",13.490293550952922,9.420667743416777,0.6983293364102758,8.044397988892813,-10.829389691352844,"[0.1897125244140625, -1.108856201171875, -4.796470642089844]",2433,"[-0.6347223520278931, 0.19823774695396423, -3.038501501083374]",3.1104118824005127,10.331421852111816,0.9288692016910208,2.889165796519675,,,
1305,3171,"[-7.105156570672989, 3.772146485745907, -10.829389691352844]",13.490293550952922,9.420667743416777,0.6983293364102758,8.044397988892813,-10.829389691352844,"[0.1897125244140625, -1.108856201171875, -4.796470642089844]",1306,"[-1.6401560306549072, 2.41015887260437, -3.054780960083008]",4.222637176513672,8.867009162902832,0.5608941513372824,2.3684524680099344,780,780,780
1305,3171,"[-7.105156570672989, 3.772146485745907, -10.829389691352844]",13.490293550952922,9.420667743416777,0.6983293364102758,8.044397988892813,-10.829389691352844,"[0.1897125244140625, -1.108856201171875, -4.796470642089844]",1307,"[-4.570674896240234, 1.0774279832839966, -3.064039707183838]",5.607161521911621,7.694803237915039,0.4573762546789545,2.56458249796159,130,780,780
2433,3631,"[-1.0746096074581146, 1.4155562222003937, -7.490873336791992]",7.6988160501802305,7.200785190113176,0.9353107209185241,1.7772409028186171,-7.490873336791992,"[-0.8434295654296875, -1.0455818176269531, -5.7932891845703125]",1460,"[-0.20382902026176453, 0.20456770062446594, -2.015981435775757]",2.036559581756592,12.767929077148438,0.9608440200018359,1.9568161976495122,,,
2433,3631,"[-1.0746096074581146, 1.4155562222003937, -7.490873336791992]",7.6988160501802305,7.200785190113176,0.9353107209185241,1.7772409028186171,-7.490873336791992,"[-0.8434295654296875, -1.0455818176269531, -5.7932891845703125]",1307,"[0.34473127126693726, -2.081768035888672, -2.207082748413086]",3.0534918308258057,10.427270889282227,0.807978223801411,2.4671548664440834,98,130,130
2433,3631,"[-1.0746096074581146, 1.4155562222003937, -7.490873336791992]",7.6988160501802305,7.200785190113176,0.9353107209185241,1.7772409028186171,-7.490873336791992,"[-0.8434295654296875, -1.0455818176269531, -5.7932891845703125]",1306,"[-0.9093334674835205, 1.378950595855713, -1.5774143934249878]",2.28399395942688,12.056509017944336,0.6231042642794813,1.423166356990045,780,780,780
2433,3631,"[-1.0746096074581146, 1.4155562222003937, -7.490873336791992]",7.6988160501802305,7.200785190113176,0.9353107209185241,1.7772409028186171,-7.490873336791992,"[-0.8434295654296875, -1.0455818176269531, -5.7932891845703125]",1313,"[-0.30617839097976685, 1.9138059616088867, -1.6903947591781616]",2.571737289428711,11.362025260925293,0.5263554506137853,1.3536479625365203,780,780,780
