ion_id,start_frame,permeation_frame,permeation_radial,avg_nonpermeation_radial,empirical_p,total_frames
1311,0,1661,3.174,7.163,0.963,1662
1314,159,235,1.431,2.009,0.415,236
1315,166,571,4.648,5.657,0.668,413
1316,233,382,3.979,2.149,0.18,217
1312,353,458,5.413,1.98,0.04,226
2280,459,1091,1.856,5.605,0.811,739
2299,491,805,2.463,5.583,0.764,347
2203,692,849,3.344,2.134,0.139,359
2271,787,1120,5.283,4.742,0.569,429
2313,855,1716,4.27,6.4,0.841,930
2265,983,1000,2.218,1.667,0.062,146
2188,1121,1416,3.147,4.849,0.569,434
2246,1202,1295,2.022,2.655,0.406,175
2241,1303,1331,6.177,2.283,0.1,130
2315,1315,1489,3.228,6.375,0.786,187
2253,1370,1585,3.929,2.556,0.236,271
2434,1534,1899,4.614,4.846,0.536,535
2194,1589,1638,2.527,2.91,0.286,105
2197,1602,1811,1.941,5.439,0.888,223
2295,1658,1842,4.177,5.478,0.656,241
2201,1795,2151,3.009,5.671,0.863,402
2296,1838,2079,3.683,5.383,0.702,285
2182,1867,1878,3.761,2.031,0.098,41
2308,1886,1940,3.343,4.543,0.554,74
2171,1910,2065,3.641,5.077,0.672,180
2230,1957,1988,3.316,2.216,0.215,79
2327,1989,2343,2.105,6.626,0.897,387
2193,2029,2113,2.49,3.402,0.36,125
2202,2096,3680,2.011,6.256,0.947,1652
2227,2120,2241,2.49,5.379,0.767,146
2312,2146,2197,1.551,1.484,0.218,78
2302,2206,2309,3.471,4.051,0.47,164
2266,2245,2430,1.976,5.251,0.729,225
2215,2315,2537,1.676,6.178,0.851,261
2304,2344,2374,1.553,2.477,0.417,60
2249,2379,2385,4.564,1.615,0.024,42
2232,2408,2833,5.42,6.39,0.758,455
2247,2471,2474,2.972,1.275,0.03,67
2183,2518,4010,1.18,6.959,0.978,1540
2294,2542,2553,2.784,1.467,0.111,36
2224,2562,2605,1.821,3.284,0.562,64
2438,2689,2697,2.299,1.309,0.037,136
2267,2699,2734,3.23,4.268,0.522,46
2291,2996,3008,3.663,1.336,0.052,191
2179,3245,3280,3.554,1.891,0.103,116
2167,3371,3394,0.915,1.588,0.913,150
2305,3420,3861,2.739,7.358,0.961,491
2228,3584,3600,0.664,1.606,0.994,181
2248,3669,3903,3.34,4.896,0.669,266
2289,3874,4719,1.97,6.409,0.889,912
2170,3902,4290,8.425,5.831,0.05,417
2269,4006,4047,1.079,2.608,0.583,103
2439,4040,4907,2.183,6.754,0.939,902
2263,4062,4062,2.514,0.954,0.043,23
2441,4391,4414,0.775,1.652,0.778,63
2256,4452,4508,4.299,3.013,0.288,118
2217,4476,5470,1.729,7.071,0.957,1019
2186,4530,4624,2.534,3.519,0.523,149
2178,4556,4577,4.247,1.262,0.042,48
2210,4689,4695,5.508,1.262,0.057,35
2258,4879,5704,4.609,7.13,0.931,851
2199,4896,5636,1.231,24.549,0.807,758
2207,4918,5100,2.455,6.658,0.878,205
2257,4974,5275,1.633,5.429,0.799,358
2192,4989,4991,1.137,0.717,0.111,18
2177,5009,5030,2.051,1.749,0.214,42
2290,5089,5124,1.779,1.126,0.121,91
2297,5170,5223,3.139,3.311,0.384,99
2169,5369,5477,0.747,3.921,0.819,199
2212,5437,5791,1.439,5.917,0.889,388
2314,5562,5858,1.53,5.831,0.797,365
2229,5741,5837,0.917,3.926,0.641,145
2285,5852,5872,2.485,1.74,0.294,51
2239,5912,6040,0.33,4.462,0.995,189
2442,5929,5964,1.927,3.38,0.528,53
2440,5984,6798,7.981,7.351,0.413,870
2184,6071,6080,2.214,0.79,0.03,33
2322,6091,6152,1.231,3.284,0.695,82
2242,6151,6176,0.502,1.799,0.988,86
2311,6172,6643,0.819,6.32,0.974,493
2307,6226,6231,1.774,0.967,0.102,49
2206,6248,6334,0.936,3.766,0.761,109
2250,6271,6452,2.64,4.21,0.576,205
2226,6330,6798,7.014,4.629,0.324,528
2309,6461,6466,1.535,0.751,0.007,137
2282,6478,6503,2.04,1.166,0.163,43
2200,6514,6532,2.22,1.471,0.255,55
2264,6550,6582,3.101,1.74,0.217,69
2443,6616,6737,1.629,4.211,0.622,188
2189,6634,6798,6.837,3.865,0.126,183
