start,end,duration,num_ions,ions
0,158,159,1,1311
159,165,7,2,"1314, 1311"
166,232,67,3,"1314, 1315, 1311"
233,235,3,4,"1314, 1315, 1316, 1311"
236,283,48,3,"1315, 1316, 1311"
284,318,35,2,"1315, 1311"
319,352,34,3,"1315, 1316, 1311"
353,382,30,4,"1312, 1315, 1316, 1311"
383,458,76,3,"1312, 1315, 1311"
459,490,32,3,"2280, 1315, 1311"
491,571,81,4,"2280, 1315, 2299, 1311"
572,691,120,3,"2280, 2299, 1311"
692,727,36,4,"2280, 2299, 2203, 1311"
728,741,14,3,"2280, 2299, 1311"
742,786,45,4,"2280, 2299, 2203, 1311"
787,805,19,5,"1311, 2280, 2203, 2299, 2271"
806,849,44,4,"2280, 2271, 2203, 1311"
850,854,5,3,"2280, 2271, 1311"
855,982,128,4,"2280, 2313, 2271, 1311"
983,1000,18,5,"1311, 2280, 2313, 2265, 2271"
1001,1091,91,4,"2280, 2313, 2271, 1311"
1092,1120,29,3,"2313, 2271, 1311"
1121,1201,81,3,"2313, 2188, 1311"
1202,1295,94,4,"2313, 2188, 2246, 1311"
1296,1302,7,3,"2313, 2188, 1311"
1303,1314,12,4,"2313, 2188, 2241, 1311"
1315,1331,17,5,"2241, 2313, 2315, 2188, 1311"
1332,1369,38,4,"2313, 2315, 2188, 1311"
1370,1416,47,5,"2313, 2315, 2188, 2253, 1311"
1417,1429,13,4,"2313, 2315, 2253, 1311"
1430,1440,11,3,"2313, 2315, 1311"
1441,1478,38,4,"2313, 2315, 2253, 1311"
1479,1479,1,3,"2313, 2253, 1311"
1480,1489,10,4,"2313, 2315, 2253, 1311"
1490,1533,44,3,"2313, 2253, 1311"
1534,1585,52,4,"2313, 2434, 2253, 1311"
1586,1588,3,3,"2313, 2434, 1311"
1589,1601,13,4,"2313, 2434, 2194, 1311"
1602,1638,37,5,"2434, 2313, 2194, 2197, 1311"
1639,1657,19,4,"2313, 2434, 2197, 1311"
1658,1661,4,5,"2434, 2313, 2197, 2295, 1311"
1662,1716,55,4,"2313, 2434, 2197, 2295"
1717,1794,78,3,"2434, 2197, 2295"
1795,1811,17,4,"2201, 2434, 2197, 2295"
1812,1837,26,3,"2201, 2434, 2295"
1838,1842,5,4,"2296, 2201, 2434, 2295"
1843,1866,24,3,"2296, 2201, 2434"
1867,1878,12,4,"2296, 2201, 2434, 2182"
1879,1885,7,3,"2296, 2201, 2434"
1886,1899,14,4,"2296, 2201, 2434, 2308"
1900,1909,10,3,"2296, 2201, 2308"
1910,1940,31,4,"2296, 2201, 2171, 2308"
1941,1956,16,3,"2296, 2201, 2171"
1957,1988,32,4,"2296, 2201, 2171, 2230"
1989,2028,40,4,"2296, 2201, 2171, 2327"
2029,2041,13,5,"2193, 2327, 2296, 2201, 2171"
2042,2065,24,4,"2296, 2201, 2171, 2327"
2066,2067,2,3,"2296, 2201, 2327"
2068,2079,12,4,"2296, 2201, 2193, 2327"
2080,2095,16,3,"2201, 2193, 2327"
2096,2113,18,4,"2201, 2193, 2202, 2327"
2114,2119,6,3,"2201, 2202, 2327"
2120,2145,26,4,"2201, 2202, 2227, 2327"
2146,2151,6,5,"2312, 2227, 2327, 2201, 2202"
2152,2171,20,4,"2312, 2202, 2227, 2327"
2172,2182,11,3,"2202, 2227, 2327"
2183,2197,15,4,"2312, 2202, 2227, 2327"
2198,2205,8,3,"2202, 2227, 2327"
2206,2241,36,4,"2202, 2227, 2302, 2327"
2242,2244,3,3,"2202, 2302, 2327"
2245,2309,65,4,"2266, 2202, 2302, 2327"
2310,2314,5,3,"2266, 2202, 2327"
2315,2343,29,4,"2215, 2266, 2202, 2327"
2344,2374,31,4,"2304, 2266, 2202, 2215"
2375,2378,4,3,"2266, 2202, 2215"
2379,2385,7,4,"2266, 2202, 2249, 2215"
2386,2407,22,3,"2266, 2202, 2215"
2408,2430,23,4,"2232, 2266, 2202, 2215"
2431,2470,40,3,"2232, 2202, 2215"
2471,2474,4,4,"2232, 2202, 2247, 2215"
2475,2517,43,3,"2232, 2202, 2215"
2518,2537,20,4,"2232, 2202, 2183, 2215"
2538,2541,4,3,"2232, 2202, 2183"
2542,2553,12,4,"2232, 2202, 2294, 2183"
2554,2561,8,3,"2232, 2202, 2183"
2562,2605,44,4,"2232, 2202, 2224, 2183"
2606,2688,83,3,"2232, 2202, 2183"
2689,2697,9,4,"2232, 2202, 2438, 2183"
2698,2698,1,3,"2232, 2202, 2183"
2699,2734,36,4,"2232, 2202, 2267, 2183"
2735,2833,99,3,"2232, 2202, 2183"
2834,2995,162,2,"2202, 2183"
2996,3008,13,3,"2202, 2291, 2183"
3009,3244,236,2,"2202, 2183"
3245,3280,36,3,"2202, 2179, 2183"
3281,3370,90,2,"2202, 2183"
3371,3394,24,3,"2202, 2167, 2183"
3395,3419,25,2,"2202, 2183"
3420,3583,164,3,"2305, 2202, 2183"
3584,3600,17,4,"2305, 2202, 2228, 2183"
3601,3668,68,3,"2305, 2202, 2183"
3669,3680,12,4,"2248, 2305, 2202, 2183"
3681,3732,52,3,"2248, 2305, 2183"
3733,3733,1,2,"2305, 2183"
3734,3861,128,3,"2248, 2305, 2183"
3862,3873,12,2,"2248, 2183"
3874,3901,28,3,"2248, 2289, 2183"
3902,3903,2,4,"2248, 2289, 2170, 2183"
3904,4005,102,3,"2289, 2170, 2183"
4006,4010,5,4,"2289, 2170, 2269, 2183"
4011,4039,29,3,"2289, 2170, 2269"
4040,4047,8,4,"2289, 2170, 2269, 2439"
4048,4061,14,3,"2289, 2170, 2439"
4062,4062,1,4,"2289, 2170, 2263, 2439"
4063,4290,228,3,"2289, 2170, 2439"
4291,4390,100,2,"2289, 2439"
4391,4414,24,3,"2289, 2441, 2439"
4415,4451,37,2,"2289, 2439"
4452,4475,24,3,"2256, 2289, 2439"
4476,4508,33,4,"2256, 2289, 2217, 2439"
4509,4529,21,3,"2289, 2217, 2439"
4530,4555,26,4,"2289, 2186, 2217, 2439"
4556,4577,22,5,"2178, 2439, 2217, 2186, 2289"
4578,4624,47,4,"2289, 2186, 2217, 2439"
4625,4688,64,3,"2289, 2217, 2439"
4689,4695,7,4,"2289, 2210, 2217, 2439"
4696,4719,24,3,"2289, 2217, 2439"
4720,4878,159,2,"2217, 2439"
4879,4895,17,3,"2217, 2258, 2439"
4896,4907,12,4,"2199, 2217, 2258, 2439"
4908,4917,10,3,"2217, 2258, 2199"
4918,4973,56,4,"2207, 2217, 2258, 2199"
4974,4974,1,5,"2217, 2257, 2258, 2199, 2207"
4975,4988,14,4,"2217, 2258, 2257, 2207"
4989,4991,3,5,"2217, 2192, 2257, 2258, 2207"
4992,5008,17,4,"2217, 2258, 2257, 2207"
5009,5030,22,5,"2177, 2217, 2257, 2258, 2207"
5031,5088,58,4,"2217, 2258, 2257, 2207"
5089,5093,5,5,"2217, 2257, 2258, 2290, 2207"
5094,5100,7,4,"2217, 2258, 2257, 2207"
5101,5105,5,3,"2217, 2258, 2257"
5106,5124,19,4,"2217, 2258, 2257, 2290"
5125,5169,45,3,"2217, 2258, 2257"
5170,5223,54,4,"2217, 2258, 2257, 2297"
5224,5275,52,3,"2217, 2258, 2257"
5276,5368,93,2,"2217, 2258"
5369,5436,68,3,"2169, 2217, 2258"
5437,5470,34,4,"2169, 2217, 2258, 2212"
5471,5477,7,3,"2169, 2258, 2212"
5478,5561,84,2,"2258, 2212"
5562,5619,58,3,"2258, 2314, 2212"
5620,5636,17,4,"2258, 2314, 2212, 2199"
5637,5704,68,3,"2258, 2314, 2212"
5705,5740,36,2,"2314, 2212"
5741,5791,51,3,"2314, 2212, 2229"
