ion_id,start_frame,permeation_frame,permeation_radial,avg_nonpermeation_radial,empirical_p,total_frames
1311,0,1661,2.875,6.674,0.965,1662
1314,159,235,1.245,1.769,0.305,236
1315,166,571,4.306,5.224,0.673,413
1316,233,382,3.823,1.984,0.166,217
1312,353,458,4.776,2.031,0.08,226
2280,459,1091,1.324,6.072,0.823,739
2299,491,805,2.289,5.201,0.772,347
2203,692,849,2.939,1.565,0.142,359
2271,787,1120,4.98,4.553,0.566,429
2313,855,1716,3.989,6.317,0.835,930
2265,983,1000,1.861,1.294,0.048,146
2188,1121,1416,2.85,4.403,0.599,434
2246,1202,1295,1.513,2.018,0.371,175
2241,1303,1331,5.564,1.677,0.1,130
2315,1315,1489,2.913,5.972,0.813,187
2253,1370,1585,3.542,2.296,0.273,271
2434,1534,1899,4.25,4.327,0.542,535
2194,1589,1638,2.797,2.402,0.257,105
2197,1602,1811,1.676,5.627,0.897,223
2295,1658,1842,3.775,5.054,0.656,241
2201,1795,2151,2.565,5.858,0.866,402
2296,1838,2079,3.259,4.788,0.702,285
2182,1867,1878,3.389,1.428,0.098,41
2308,1886,1940,3.215,3.959,0.541,74
2171,1910,2065,3.718,4.802,0.622,180
2230,1957,1988,3.1,1.582,0.19,79
2327,1989,2343,1.87,6.16,0.894,387
2193,2029,2113,2.236,2.566,0.352,125
2227,2120,2241,2.049,3.758,0.54,213
2312,2146,2197,1.165,1.023,0.205,78
2302,2206,2309,3.048,3.538,0.476,164
2266,2245,2430,1.741,4.899,0.747,225
2215,2315,2537,1.626,5.484,0.839,261
2304,2344,2374,1.414,2.099,0.4,60
2249,2379,2385,4.187,0.871,0.024,42
2232,2408,2833,5.143,5.752,0.745,455
2247,2471,2474,2.526,0.635,0.03,67
2294,2542,2553,2.677,0.91,0.024,83
2224,2562,2605,1.697,2.848,0.547,64
2438,2689,2697,2.218,0.589,0.029,136
2267,2699,2734,3.543,3.546,0.5,46
2291,2996,3008,3.311,0.757,0.032,310
2179,3245,3280,3.306,1.127,0.112,116
2167,3371,3394,0.544,0.89,0.387,150
