start,end,duration,num_ions,ions
0,158,159,1,1311
159,165,7,2,"1314, 1311"
166,232,67,3,"1314, 1315, 1311"
233,235,3,4,"1314, 1315, 1316, 1311"
236,283,48,3,"1315, 1316, 1311"
284,318,35,2,"1315, 1311"
319,352,34,3,"1315, 1316, 1311"
353,382,30,4,"1312, 1315, 1316, 1311"
383,458,76,3,"1312, 1315, 1311"
459,490,32,3,"2280, 1315, 1311"
491,571,81,4,"2280, 1315, 2299, 1311"
572,691,120,3,"2280, 2299, 1311"
692,727,36,4,"2280, 2299, 2203, 1311"
728,741,14,3,"2280, 2299, 1311"
742,786,45,4,"2280, 2299, 2203, 1311"
787,805,19,5,"1311, 2280, 2203, 2299, 2271"
806,849,44,4,"2280, 2271, 2203, 1311"
850,854,5,3,"2280, 2271, 1311"
855,982,128,4,"2280, 2313, 2271, 1311"
983,1000,18,5,"1311, 2280, 2313, 2265, 2271"
1001,1091,91,4,"2280, 2313, 2271, 1311"
1092,1120,29,3,"2313, 2271, 1311"
1121,1201,81,3,"2313, 2188, 1311"
1202,1295,94,4,"2313, 2188, 2246, 1311"
1296,1302,7,3,"2313, 2188, 1311"
1303,1314,12,4,"2313, 2188, 2241, 1311"
1315,1331,17,5,"2241, 2313, 2315, 2188, 1311"
1332,1369,38,4,"2313, 2315, 2188, 1311"
1370,1416,47,5,"2313, 2315, 2188, 2253, 1311"
1417,1429,13,4,"2313, 2315, 2253, 1311"
1430,1440,11,3,"2313, 2315, 1311"
1441,1478,38,4,"2313, 2315, 2253, 1311"
1479,1479,1,3,"2313, 2253, 1311"
1480,1489,10,4,"2313, 2315, 2253, 1311"
1490,1533,44,3,"2313, 2253, 1311"
1534,1585,52,4,"2313, 2434, 2253, 1311"
1586,1588,3,3,"2313, 2434, 1311"
1589,1601,13,4,"2313, 2434, 2194, 1311"
1602,1638,37,5,"2434, 2313, 2194, 2197, 1311"
1639,1657,19,4,"2313, 2434, 2197, 1311"
1658,1661,4,5,"2434, 2313, 2197, 2295, 1311"
1662,1716,55,4,"2313, 2434, 2197, 2295"
1717,1794,78,3,"2434, 2197, 2295"
1795,1811,17,4,"2201, 2434, 2197, 2295"
1812,1837,26,3,"2201, 2434, 2295"
1838,1842,5,4,"2296, 2201, 2434, 2295"
1843,1866,24,3,"2296, 2201, 2434"
1867,1878,12,4,"2296, 2201, 2434, 2182"
1879,1885,7,3,"2296, 2201, 2434"
1886,1899,14,4,"2296, 2201, 2434, 2308"
1900,1909,10,3,"2296, 2201, 2308"
1910,1940,31,4,"2296, 2201, 2171, 2308"
1941,1956,16,3,"2296, 2201, 2171"
1957,1988,32,4,"2296, 2201, 2171, 2230"
1989,2028,40,4,"2296, 2201, 2171, 2327"
2029,2041,13,5,"2193, 2327, 2296, 2201, 2171"
2042,2065,24,4,"2296, 2201, 2171, 2327"
2066,2067,2,3,"2296, 2201, 2327"
2068,2079,12,4,"2296, 2201, 2193, 2327"
2080,2113,34,3,"2201, 2193, 2327"
2114,2119,6,2,"2201, 2327"
2120,2145,26,3,"2201, 2227, 2327"
2146,2151,6,4,"2312, 2201, 2227, 2327"
2152,2171,20,3,"2312, 2227, 2327"
2172,2182,11,2,"2227, 2327"
2183,2197,15,3,"2312, 2227, 2327"
2198,2205,8,2,"2227, 2327"
2206,2241,36,3,"2227, 2302, 2327"
2242,2244,3,2,"2302, 2327"
2245,2309,65,3,"2266, 2302, 2327"
2310,2314,5,2,"2266, 2327"
2315,2343,29,3,"2215, 2266, 2327"
2344,2374,31,3,"2304, 2266, 2215"
2375,2378,4,2,"2266, 2215"
2379,2385,7,3,"2249, 2266, 2215"
2386,2407,22,2,"2266, 2215"
2408,2430,23,3,"2232, 2266, 2215"
2431,2470,40,2,"2232, 2215"
2471,2474,4,3,"2232, 2247, 2215"
2475,2537,63,2,"2232, 2215"
2538,2541,4,1,2232
2542,2553,12,2,"2232, 2294"
2554,2561,8,1,2232
2562,2605,44,2,"2232, 2224"
2606,2688,83,1,2232
2689,2697,9,2,"2232, 2438"
2698,2698,1,1,2232
2699,2734,36,2,"2232, 2267"
2735,2833,99,1,2232
2996,3008,13,1,2291
3245,3280,36,1,2179
3371,3394,24,1,2167
