ion_id,start_frame,permeation_frame,permeation_cosine,avg_nonpermeation_cosine,empirical_p,total_cosines
1311,0,1661,0.78,-0.044,0.104,1662
1314,159,235,0.941,-0.011,0.059,236
1315,166,571,0.381,-0.048,0.268,413
1316,233,382,0.934,-0.009,0.055,217
1312,353,458,0.523,-0.081,0.229,226
2280,459,1091,0.888,-0.022,0.062,739
2299,491,805,0.95,-0.029,0.023,347
2203,692,849,0.917,0.027,0.053,359
2271,787,1120,0.645,-0.012,0.195,429
2313,855,1716,0.808,-0.05,0.086,930
2265,983,1000,0.571,0.038,0.299,146
2188,1121,1416,0.79,-0.029,0.12,434
2246,1202,1295,0.912,0.014,0.017,175
2241,1303,1331,0.205,0.119,0.504,130
2315,1315,1489,0.789,-0.003,0.112,187
2253,1370,1585,0.933,-0.021,0.044,271
2434,1534,1899,0.29,-0.029,0.353,535
2194,1589,1638,0.568,0.014,0.264,105
2197,1602,1811,0.984,-0.049,0.022,223
2295,1658,1842,0.799,-0.038,0.074,241
2201,1795,2151,0.913,-0.037,0.032,402
2296,1838,2079,0.372,-0.064,0.266,285
2182,1867,1878,0.658,-0.025,0.262,41
2308,1886,1940,0.857,-0.039,0.12,74
2171,1910,2065,0.691,-0.079,0.11,180
2230,1957,1988,0.878,-0.004,0.087,79
2327,1989,2343,0.994,-0.041,0.008,387
2193,2029,2113,0.994,-0.027,0.016,125
2227,2120,2241,0.986,-0.076,0.019,213
2312,2146,2197,0.999,-0.021,0.025,78
2302,2206,2309,0.919,-0.055,0.036,164
2266,2245,2430,0.977,-0.077,0.018,225
2215,2315,2537,0.866,-0.021,0.069,261
2304,2344,2374,0.795,0.026,0.131,60
2249,2379,2385,0.862,0.042,0.093,42
2232,2408,2833,0.307,-0.063,0.289,455
2247,2471,2474,-0.647,0.004,0.838,67
2294,2542,2553,0.996,0.075,0.024,83
2224,2562,2605,0.988,0.014,0.046,64
2438,2689,2697,0.969,-0.0,0.036,136
2267,2699,2734,0.881,0.036,0.234,46
2291,2996,3008,0.752,-0.015,0.17,310
2179,3245,3280,-0.462,-0.025,0.752,116
2167,3371,3394,0.76,-0.014,0.093,150
