start,end,duration,num_ions,ions
3500,3583,84,4,"2280, 2305, 2202, 2183"
3584,3600,17,5,"2305, 2183, 2280, 2228, 2202"
3601,3637,37,4,"2280, 2305, 2202, 2183"
3638,3647,10,5,"2305, 2183, 2280, 2197, 2202"
3648,3668,21,4,"2280, 2305, 2202, 2183"
3669,3680,12,5,"2305, 2183, 2280, 2248, 2202"
3681,3732,52,4,"2280, 2305, 2248, 2183"
3733,3733,1,3,"2280, 2305, 2183"
3734,3807,74,4,"2280, 2305, 2248, 2183"
3808,3814,7,5,"2305, 2438, 2183, 2280, 2248"
3815,3861,47,4,"2248, 2305, 2438, 2183"
3862,3873,12,3,"2248, 2438, 2183"
3874,3901,28,4,"2248, 2289, 2438, 2183"
3902,3903,2,5,"2438, 2183, 2248, 2289, 2170"
3904,3939,36,4,"2289, 2170, 2438, 2183"
3940,3944,5,3,"2289, 2170, 2183"
3945,4005,61,4,"2289, 2170, 2249, 2183"
4006,4010,5,5,"2183, 2249, 2289, 2170, 2269"
4011,4039,29,4,"2289, 2170, 2249, 2269"
4040,4047,8,5,"2439, 2249, 2289, 2170, 2269"
4048,4061,14,4,"2289, 2170, 2249, 2439"
4062,4062,1,5,"2439, 2249, 2289, 2263, 2170"
4063,4290,228,4,"2289, 2170, 2249, 2439"
4291,4309,19,3,"2289, 2249, 2439"
4310,4351,42,4,"2289, 2249, 2308, 2439"
4352,4378,27,5,"2308, 2439, 2249, 2224, 2289"
4379,4390,12,4,"2224, 2289, 2308, 2439"
4391,4414,24,5,"2308, 2439, 2441, 2224, 2289"
4415,4451,37,4,"2224, 2289, 2308, 2439"
4452,4453,2,5,"2308, 2439, 2224, 2289, 2256"
4454,4475,22,4,"2256, 2289, 2308, 2439"
4476,4508,33,5,"2308, 2439, 2217, 2256, 2289"
4509,4529,21,4,"2289, 2217, 2308, 2439"
4530,4549,20,5,"2308, 2439, 2217, 2186, 2289"
4550,4555,6,4,"2289, 2186, 2217, 2439"
4556,4577,22,5,"2178, 2439, 2217, 2186, 2289"
4578,4624,47,4,"2289, 2186, 2217, 2439"
4625,4660,36,3,"2289, 2217, 2439"
4661,4688,28,4,"2289, 2201, 2217, 2439"
4689,4695,7,5,"2210, 2439, 2217, 2289, 2201"
4696,4706,11,4,"2289, 2201, 2217, 2439"
4707,4719,13,5,"2439, 2217, 2289, 2296, 2201"
4720,4773,54,4,"2296, 2217, 2201, 2439"
4774,4776,3,3,"2296, 2217, 2439"
4777,4798,22,4,"2296, 2217, 2299, 2439"
4799,4801,3,3,"2296, 2217, 2439"
4802,4826,25,4,"2296, 2217, 1315, 2439"
4827,4849,23,3,"2296, 2217, 2439"
4850,4878,29,2,"2217, 2439"
4879,4895,17,3,"2217, 2258, 2439"
4896,4907,12,4,"2199, 2217, 2258, 2439"
4908,4917,10,3,"2217, 2258, 2199"
4918,4973,56,4,"2207, 2217, 2258, 2199"
4974,4974,1,5,"2217, 2257, 2258, 2199, 2207"
4975,4988,14,4,"2217, 2258, 2257, 2207"
4989,4991,3,5,"2217, 2192, 2257, 2258, 2207"
4992,5008,17,4,"2217, 2258, 2257, 2207"
5009,5030,22,5,"2177, 2217, 2257, 2258, 2207"
5031,5088,58,4,"2217, 2258, 2257, 2207"
5089,5093,5,5,"2217, 2257, 2258, 2290, 2207"
5094,5100,7,4,"2217, 2258, 2257, 2207"
5101,5105,5,3,"2217, 2258, 2257"
5106,5124,19,4,"2217, 2258, 2257, 2290"
5125,5169,45,4,"2266, 2217, 2258, 2257"
5170,5173,4,5,"2217, 2257, 2258, 2297, 2266"
5174,5223,50,4,"2217, 2258, 2257, 2297"
5224,5227,4,3,"2217, 2258, 2257"
5228,5275,48,4,"1312, 2217, 2258, 2257"
5276,5368,93,3,"1312, 2217, 2258"
5369,5403,35,4,"1312, 2217, 2258, 2169"
5404,5411,8,5,"1312, 2179, 2217, 2258, 2169"
5412,5436,25,4,"1312, 2217, 2258, 2169"
5437,5470,34,5,"1312, 2212, 2217, 2258, 2169"
5471,5477,7,4,"1312, 2169, 2258, 2212"
5478,5561,84,3,"1312, 2258, 2212"
5562,5619,58,4,"1312, 2258, 2314, 2212"
5620,5636,17,5,"1312, 2212, 2314, 2258, 2199"
