ion_id,start_frame,permeation_frame,permeation_cosine,avg_nonpermeation_cosine,empirical_p,total_cosines
2202,3500,3680,0.338,-0.002,0.017,3681
2183,3500,4010,-0.036,-0.099,0.443,511
2305,3500,3861,0.855,-0.087,0.063,362
2280,3500,3814,0.941,-0.08,0.019,315
2228,3584,3600,0.94,0.03,0.059,101
2197,3638,3647,0.339,0.05,0.354,64
2248,3669,3903,0.11,-0.072,0.401,266
2438,3808,3939,0.95,-0.015,0.029,271
2289,3874,4719,0.92,-0.055,0.048,912
2170,3902,4290,-0.393,-0.058,0.711,417
2249,3945,4378,-0.011,-0.03,0.471,477
2269,4006,4047,0.95,-0.001,0.048,103
2439,4040,4907,0.264,-0.035,0.359,902
2263,4062,4062,0.956,0.058,0.083,23
2308,4310,4549,1.0,-0.013,0.004,488
2224,4352,4453,0.466,-0.01,0.31,144
2441,4391,4414,0.747,0.015,0.172,63
2256,4452,4508,0.741,-0.048,0.185,118
2217,4476,5470,0.448,-0.065,0.21,1019
2186,4530,4624,0.706,0.023,0.247,149
2178,4556,4577,0.906,0.012,0.163,48
2201,4661,4773,0.698,0.028,0.151,178
2210,4689,4695,0.33,-0.035,0.361,35
2296,4707,4849,0.824,-0.052,0.136,161
2299,4777,4798,0.474,0.036,0.431,64
1315,4802,4826,0.863,0.093,0.176,50
2258,4879,5704,0.022,-0.031,0.459,851
2199,4896,5636,0.754,-0.028,0.099,758
2207,4918,5100,0.927,-0.023,0.049,205
2257,4974,5275,0.302,-0.07,0.301,358
2192,4989,4991,0.973,0.003,0.105,18
2177,5009,5030,0.942,-0.073,0.116,42
2290,5089,5124,0.806,-0.042,0.087,91
2266,5125,5173,0.889,0.048,0.093,85
2297,5170,5223,0.667,-0.105,0.12,99
1312,5228,6192,-0.082,-0.044,0.516,1023
2169,5369,5477,0.969,-0.001,0.01,199
2179,5404,5411,0.907,0.154,0.136,43
2212,5437,5791,0.767,-0.061,0.111,388
2314,5562,5858,0.969,-0.011,0.022,365
2229,5741,5837,0.421,-0.022,0.349,145
2304,5796,5912,0.569,-0.012,0.231,172
2285,5852,5872,0.594,-0.025,0.192,51
2239,5912,6040,0.942,-0.001,0.047,189
2442,5929,5964,0.949,0.057,0.074,53
2440,5984,6798,0.886,-0.016,0.083,870
2184,6071,6080,-0.069,0.011,0.559,33
2322,6091,6152,0.632,-0.005,0.241,82
2242,6151,6176,0.946,0.063,0.092,86
2311,6172,6643,0.652,-0.036,0.152,493
2271,6183,6622,0.824,-0.047,0.084,451
2307,6226,6231,0.514,0.037,0.3,49
2206,6248,6334,0.817,-0.091,0.1,109
2250,6271,6452,0.591,-0.04,0.228,205
2226,6330,6798,-0.299,-0.019,0.605,528
2309,6461,6466,0.928,-0.081,0.036,137
2282,6478,6503,0.874,0.031,0.091,43
2200,6514,6532,0.93,0.039,0.071,55
2264,6550,6582,0.817,-0.031,0.071,69
2443,6616,6737,0.93,-0.051,0.063,188
2189,6634,6798,-0.39,-0.083,0.614,183
2327,6655,6659,0.806,0.027,0.222,26
