ion_id,avg_nonpermeation_cosine,permeation_cosine
2202,-0.0,0.34
2183,-0.1,-0.04
2305,-0.09,0.85
2280,-0.08,0.94
2228,0.03,0.94
2197,0.05,0.34
2248,-0.07,0.11
2438,-0.02,0.95
2289,-0.06,0.92
2170,-0.06,-0.39
2249,-0.03,-0.01
2269,-0.0,0.95
2439,-0.04,0.26
2263,0.06,0.96
2308,-0.01,1.0
2224,-0.01,0.47
2441,0.02,0.75
2256,-0.05,0.74
2217,-0.06,0.45
2186,0.02,0.71
2178,0.01,0.91
2201,0.03,0.7
2210,-0.04,0.33
2296,-0.05,0.82
2299,0.04,0.47
1315,0.09,0.86
2258,-0.03,0.02
2199,-0.03,0.75
2207,-0.02,0.93
2257,-0.07,0.3
2192,0.0,0.97
2177,-0.07,0.94
2290,-0.04,0.81
2266,0.05,0.89
2297,-0.1,0.67
1312,-0.04,-0.08
2169,-0.0,0.97
2179,0.15,0.91
2212,-0.06,0.77
2314,-0.01,0.97
2229,-0.02,0.42
2304,-0.01,0.57
2285,-0.02,0.59
2239,-0.0,0.94
2442,0.06,0.95
2440,-0.02,0.89
2184,0.01,-0.07
2322,-0.0,0.63
2242,0.06,0.95
2311,-0.04,0.65
2271,-0.05,0.82
2307,0.04,0.51
2206,-0.09,0.82
2250,-0.04,0.59
2226,-0.02,-0.3
2309,-0.08,0.93
2282,0.03,0.87
2200,0.04,0.93
2264,-0.03,0.82
2443,-0.05,0.93
2189,-0.08,-0.39
2327,0.03,0.81
