start,end,duration,num_ions,ions
3550,3583,34,4,"2202_1, 2280_1, 2183_1, 2305_1"
3584,3600,17,5,"2228_1, 2280_1, 2305_1, 2202_1, 2183_1"
3601,3637,37,4,"2202_1, 2280_1, 2183_1, 2305_1"
3638,3647,10,5,"2280_1, 2197_1, 2305_1, 2202_1, 2183_1"
3648,3668,21,4,"2202_1, 2280_1, 2183_1, 2305_1"
3669,3680,12,5,"2280_1, 2305_1, 2202_1, 2183_1, 2248_1"
3681,3732,52,4,"2280_1, 2248_1, 2183_1, 2305_1"
3733,3733,1,3,"2280_1, 2183_1, 2305_1"
3734,3807,74,4,"2280_1, 2248_1, 2183_1, 2305_1"
3808,3814,7,5,"2438_1, 2280_1, 2305_1, 2183_1, 2248_1"
3815,3861,47,4,"2438_1, 2248_1, 2183_1, 2305_1"
3862,3873,12,3,"2438_1, 2248_1, 2183_1"
3874,3901,28,4,"2438_1, 2289_1, 2248_1, 2183_1"
3902,3903,2,5,"2289_1, 2438_1, 2170_1, 2183_1, 2248_1"
3904,3939,36,4,"2438_1, 2170_1, 2289_1, 2183_1"
3940,3944,5,3,"2170_1, 2289_1, 2183_1"
3945,4005,61,4,"2170_1, 2249_1, 2289_1, 2183_1"
4006,4010,5,5,"2249_1, 2289_1, 2269_1, 2170_1, 2183_1"
4011,4039,29,4,"2269_1, 2170_1, 2249_1, 2289_1"
4040,4047,8,5,"2249_1, 2289_1, 2439_1, 2269_1, 2170_1"
4048,4061,14,4,"2170_1, 2249_1, 2289_1, 2439_1"
4062,4062,1,5,"2249_1, 2289_1, 2439_1, 2170_1, 2263_1"
4063,4290,228,4,"2170_1, 2249_1, 2289_1, 2439_1"
4291,4309,19,3,"2249_1, 2289_1, 2439_1"
4310,4351,42,4,"2308_1, 2249_1, 2289_1, 2439_1"
4352,4378,27,5,"2249_1, 2289_1, 2439_1, 2308_1, 2224_1"
4379,4390,12,4,"2308_1, 2289_1, 2224_1, 2439_1"
4391,4414,24,5,"2289_1, 2439_1, 2308_1, 2224_1, 2441_1"
4415,4451,37,4,"2308_1, 2289_1, 2224_1, 2439_1"
4452,4453,2,5,"2289_1, 2439_1, 2308_1, 2224_1, 2256_1"
4454,4475,22,4,"2308_1, 2256_1, 2289_1, 2439_1"
4476,4508,33,5,"2289_1, 2439_1, 2308_1, 2256_1, 2217_1"
4509,4529,21,4,"2308_1, 2217_1, 2289_1, 2439_1"
4530,4549,20,5,"2289_1, 2439_1, 2186_1, 2308_1, 2217_1"
4550,4555,6,4,"2186_1, 2217_1, 2289_1, 2439_1"
4556,4577,22,5,"2289_1, 2439_1, 2186_1, 2178_1, 2217_1"
4578,4595,18,4,"2186_1, 2217_1, 2289_1, 2439_1"
4596,4624,29,5,"2289_1, 2439_1, 2186_1, 2197_2, 2217_1"
4625,4658,34,4,"2197_2, 2217_1, 2289_1, 2439_1"
4659,4660,2,3,"2217_1, 2289_1, 2439_1"
4661,4688,28,4,"2201_1, 2217_1, 2289_1, 2439_1"
4689,4695,7,5,"2210_1, 2289_1, 2439_1, 2201_1, 2217_1"
4696,4706,11,4,"2201_1, 2217_1, 2289_1, 2439_1"
4707,4719,13,5,"2289_1, 2439_1, 2201_1, 2296_1, 2217_1"
4720,4734,15,4,"2217_1, 2296_1, 2439_1, 2201_1"
4735,4773,39,5,"2296_1, 2439_1, 2201_1, 2438_2, 2217_1"
4774,4776,3,4,"2438_2, 2217_1, 2296_1, 2439_1"
4777,4798,22,5,"2296_1, 2439_1, 2299_1, 2438_2, 2217_1"
4799,4801,3,4,"2438_2, 2217_1, 2296_1, 2439_1"
4802,4826,25,5,"1315_1, 2296_1, 2439_1, 2438_2, 2217_1"
4827,4849,23,4,"2438_2, 2217_1, 2296_1, 2439_1"
4850,4853,4,3,"2438_2, 2217_1, 2439_1"
4854,4856,3,4,"2438_2, 2202_2, 2217_1, 2439_1"
4857,4878,22,3,"2438_2, 2217_1, 2439_1"
4879,4895,17,4,"2438_2, 2258_1, 2217_1, 2439_1"
4896,4899,4,5,"2439_1, 2258_1, 2199_1, 2438_2, 2217_1"
4900,4907,8,4,"2258_1, 2217_1, 2439_1, 2199_1"
4908,4917,10,3,"2258_1, 2217_1, 2199_1"
4918,4973,56,4,"2258_1, 2217_1, 2199_1, 2207_1"
4974,4974,1,5,"2257_1, 2258_1, 2207_1, 2199_1, 2217_1"
4975,4988,14,4,"2257_1, 2258_1, 2217_1, 2207_1"
4989,4991,3,5,"2257_1, 2192_1, 2258_1, 2207_1, 2217_1"
4992,5008,17,4,"2257_1, 2258_1, 2217_1, 2207_1"
5009,5030,22,5,"2257_1, 2258_1, 2177_1, 2207_1, 2217_1"
5031,5033,3,4,"2257_1, 2258_1, 2217_1, 2207_1"
5034,5045,12,5,"2257_1, 2258_1, 2207_1, 2201_2, 2217_1"
5046,5088,43,4,"2257_1, 2258_1, 2217_1, 2207_1"
5089,5093,5,5,"2257_1, 2290_1, 2258_1, 2207_1, 2217_1"
5094,5100,7,4,"2257_1, 2258_1, 2217_1, 2207_1"
5101,5105,5,3,"2257_1, 2258_1, 2217_1"
5106,5124,19,4,"2257_1, 2290_1, 2258_1, 2217_1"
5125,5169,45,4,"2257_1, 2258_1, 2266_1, 2217_1"
5170,5173,4,5,"2257_1, 2258_1, 2297_1, 2266_1, 2217_1"
5174,5223,50,4,"2257_1, 2258_1, 2217_1, 2297_1"
5224,5227,4,3,"2257_1, 2258_1, 2217_1"
5228,5275,48,4,"2257_1, 2258_1, 1312_1, 2217_1"
5276,5278,3,3,"2258_1, 1312_1, 2217_1"
5279,5346,68,4,"2258_1, 1312_1, 2217_1, 2183_2"
5347,5368,22,3,"2258_1, 1312_1, 2217_1"
5369,5403,35,4,"2258_1, 1312_1, 2217_1, 2169_1"
5404,5411,8,5,"2258_1, 2179_1, 1312_1, 2217_1, 2169_1"
5412,5436,25,4,"2258_1, 1312_1, 2217_1, 2169_1"
5437,5466,30,5,"2258_1, 2212_1, 1312_1, 2217_1, 2169_1"
5467,5470,4,6,"2258_1, 2197_3, 2212_1, 1312_1, 2217_1, 2169_1"
5471,5477,7,5,"2258_1, 2197_3, 2212_1, 1312_1, 2169_1"
5478,5493,16,4,"2197_3, 2258_1, 1312_1, 2212_1"
5494,5504,11,5,"1315_2, 2258_1, 2197_3, 2212_1, 1312_1"
5505,5561,57,4,"2197_3, 2258_1, 1312_1, 2212_1"
5562,5591,30,5,"2258_1, 2197_3, 2212_1, 2314_1, 1312_1"
5592,5619,28,4,"2258_1, 1312_1, 2212_1, 2314_1"
5620,5636,17,5,"2258_1, 2199_1, 2212_1, 2314_1, 1312_1"
5637,5692,56,4,"2258_1, 1312_1, 2212_1, 2314_1"
5693,5704,12,5,"2258_1, 2212_1, 2314_1, 1312_1, 2248_2"
5705,5740,36,4,"1312_1, 2212_1, 2248_2, 2314_1"
5741,5742,2,5,"2229_1, 2212_1, 2314_1, 1312_1, 2248_2"
5743,5791,49,4,"2229_1, 1312_1, 2212_1, 2314_1"
5792,5795,4,3,"2229_1, 1312_1, 2314_1"
5796,5802,7,4,"2229_1, 2304_1, 1312_1, 2314_1"
5803,5821,19,5,"2299_2, 2229_1, 2304_1, 2314_1, 1312_1"
5822,5837,16,6,"2299_2, 2297_2, 2229_1, 2304_1, 2314_1, 1312_1"
5838,5851,14,5,"2299_2, 2297_2, 2304_1, 2314_1, 1312_1"
5852,5858,7,6,"2299_2, 2297_2, 2285_1, 2304_1, 2314_1, 1312_1"
5859,5872,14,5,"2299_2, 2297_2, 2285_1, 2304_1, 1312_1"
5873,5911,39,4,"2304_1, 1312_1, 2297_2, 2299_2"
5912,5912,1,5,"2299_2, 2239_1, 2297_2, 2304_1, 1312_1"
5913,5928,16,4,"2299_2, 1312_1, 2239_1, 2297_2"
5929,5964,36,5,"2299_2, 2442_1, 2239_1, 2297_2, 1312_1"
5965,5983,19,4,"2299_2, 1312_1, 2239_1, 2297_2"
5984,5997,14,5,"2299_2, 2239_1, 2440_1, 2297_2, 1312_1"
5998,6024,27,4,"2299_2, 2440_1, 1312_1, 2239_1"
6025,6040,16,5,"2299_2, 2228_2, 2239_1, 2440_1, 1312_1"
6041,6047,7,4,"2299_2, 2440_1, 1312_1, 2228_2"
6048,6067,20,5,"2299_2, 2228_2, 2440_1, 1312_1, 2305_2"
6068,6070,3,4,"2305_2, 2440_1, 1312_1, 2228_2"
6071,6080,10,5,"2228_2, 2440_1, 2184_1, 1312_1, 2305_2"
6081,6090,10,4,"2305_2, 2440_1, 1312_1, 2228_2"
6091,6106,16,5,"2228_2, 2440_1, 2322_1, 1312_1, 2305_2"
6107,6150,44,4,"2322_1, 2440_1, 1312_1, 2305_2"
6151,6152,2,5,"2242_1, 2440_1, 2322_1, 1312_1, 2305_2"
6153,6171,19,4,"2440_1, 1312_1, 2242_1, 2305_2"
6172,6176,5,5,"2242_1, 2311_1, 2440_1, 1312_1, 2305_2"
6177,6182,6,4,"2440_1, 1312_1, 2311_1, 2305_2"
6183,6192,10,5,"2311_1, 2305_2, 2440_1, 1312_1, 2271_1"
6193,6225,33,4,"2271_1, 2440_1, 2311_1, 2305_2"
6226,6231,6,5,"2311_1, 2305_2, 2440_1, 2307_1, 2271_1"
6232,6247,16,4,"2271_1, 2440_1, 2311_1, 2305_2"
6248,6264,17,5,"2206_1, 2311_1, 2305_2, 2440_1, 2271_1"
6265,6270,6,4,"2206_1, 2440_1, 2311_1, 2271_1"
6271,6329,59,5,"2206_1, 2311_1, 2440_1, 2250_1, 2271_1"
6330,6332,3,6,"2206_1, 2311_1, 2440_1, 2226_1, 2250_1, 2271_1"
6333,6334,2,5,"2206_1, 2311_1, 2440_1, 2250_1, 2271_1"
6335,6343,9,4,"2250_1, 2440_1, 2311_1, 2271_1"
6344,6452,109,5,"2311_1, 2440_1, 2226_1, 2250_1, 2271_1"
6453,6460,8,4,"2440_1, 2226_1, 2311_1, 2271_1"
6461,6466,6,5,"2309_1, 2311_1, 2440_1, 2226_1, 2271_1"
6467,6477,11,4,"2440_1, 2226_1, 2311_1, 2271_1"
6478,6503,26,5,"2311_1, 2440_1, 2226_1, 2282_1, 2271_1"
6504,6513,10,4,"2440_1, 2226_1, 2311_1, 2271_1"
6514,6532,19,5,"2311_1, 2440_1, 2226_1, 2200_1, 2271_1"
6533,6549,17,4,"2440_1, 2226_1, 2311_1, 2271_1"
6550,6582,33,5,"2311_1, 2440_1, 2226_1, 2264_1, 2271_1"
6583,6615,33,4,"2440_1, 2226_1, 2311_1, 2271_1"
6616,6622,7,5,"2311_1, 2440_1, 2226_1, 2443_1, 2271_1"
6623,6633,11,4,"2443_1, 2440_1, 2226_1, 2311_1"
6634,6643,10,5,"2189_1, 2311_1, 2440_1, 2226_1, 2443_1"
6644,6654,11,4,"2443_1, 2440_1, 2189_1, 2226_1"
6655,6659,5,5,"2327_1, 2189_1, 2440_1, 2226_1, 2443_1"
6660,6737,78,4,"2443_1, 2440_1, 2189_1, 2226_1"
6738,6747,10,3,"2440_1, 2189_1, 2226_1"
6748,6770,23,4,"2304_2, 2440_1, 2189_1, 2226_1"
6771,6776,6,5,"2189_1, 2440_1, 2226_1, 2304_2, 2266_2"
6777,6798,22,4,"2304_2, 2440_1, 2189_1, 2226_1"
