start,end,duration,num_ions,ions
0,158,159,1,1311_1
159,165,7,2,"1314_1, 1311_1"
166,232,67,3,"1314_1, 1315_1, 1311_1"
233,235,3,4,"1314_1, 1315_1, 1311_1, 1316_1"
236,283,48,3,"1315_1, 1311_1, 1316_1"
284,318,35,2,"1315_1, 1311_1"
319,352,34,3,"1315_1, 1311_1, 1316_1"
353,382,30,4,"1312_1, 1315_1, 1311_1, 1316_1"
383,458,76,3,"1312_1, 1315_1, 1311_1"
459,490,32,3,"1315_1, 2280_1, 1311_1"
491,571,81,4,"1315_1, 2280_1, 2299_1, 1311_1"
572,691,120,3,"2280_1, 2299_1, 1311_1"
692,727,36,4,"2280_1, 2299_1, 1311_1, 2203_1"
728,741,14,3,"2280_1, 2299_1, 1311_1"
742,786,45,4,"2280_1, 2299_1, 1311_1, 2203_1"
787,805,19,5,"2280_1, 2203_1, 2271_1, 2299_1, 1311_1"
806,849,44,4,"2280_1, 1311_1, 2203_1, 2271_1"
850,854,5,3,"2280_1, 1311_1, 2271_1"
855,982,128,4,"2313_1, 2280_1, 1311_1, 2271_1"
983,1000,18,5,"2280_1, 2265_1, 2271_1, 2313_1, 1311_1"
1001,1091,91,4,"2313_1, 2280_1, 1311_1, 2271_1"
1092,1120,29,3,"2313_1, 1311_1, 2271_1"
1121,1201,81,3,"2188_1, 1311_1, 2313_1"
1202,1295,94,4,"2188_1, 1311_1, 2246_1, 2313_1"
1296,1302,7,3,"2188_1, 1311_1, 2313_1"
1303,1314,12,4,"2188_1, 2241_1, 1311_1, 2313_1"
1315,1331,17,5,"2241_1, 2315_1, 2188_1, 2313_1, 1311_1"
1332,1369,38,4,"2315_1, 2188_1, 1311_1, 2313_1"
1370,1416,47,5,"2315_1, 2188_1, 2313_1, 2253_1, 1311_1"
1417,1429,13,4,"2315_1, 2253_1, 1311_1, 2313_1"
1430,1440,11,3,"2315_1, 1311_1, 2313_1"
1441,1478,38,4,"2315_1, 2253_1, 1311_1, 2313_1"
1479,1479,1,3,"2253_1, 1311_1, 2313_1"
1480,1489,10,4,"2315_1, 2253_1, 1311_1, 2313_1"
1490,1533,44,3,"2253_1, 1311_1, 2313_1"
1534,1585,52,4,"2253_1, 1311_1, 2434_1, 2313_1"
1586,1588,3,3,"1311_1, 2434_1, 2313_1"
1589,1601,13,4,"2194_1, 1311_1, 2434_1, 2313_1"
1602,1638,37,5,"2313_1, 2197_1, 2434_1, 2194_1, 1311_1"
