start,end,duration,num_ions,ions
0,32,33,1,1311
33,92,60,2,"1314, 1311"
93,467,375,3,"1314, 1315, 1311"
468,468,1,4,"1314, 1315, 1316, 1311"
469,482,14,3,"1314, 1316, 1311"
483,511,29,4,"1305, 1314, 1316, 1311"
512,512,1,3,"1305, 1314, 1316"
513,515,3,4,"1305, 1314, 1316, 1311"
516,538,23,3,"1305, 1314, 1316"
539,575,37,4,"1312, 1305, 1314, 1316"
576,585,10,3,"1312, 1305, 1314"
586,636,51,4,"1312, 1305, 1314, 1311"
637,664,28,3,"1312, 1305, 1311"
665,710,46,4,"1312, 1305, 2279, 1311"
711,728,18,5,"1312, 2437, 2279, 1305, 1311"
729,803,75,4,"1312, 2279, 2437, 1311"
804,811,8,5,"1312, 2437, 2279, 2313, 1311"
812,927,116,4,"1312, 2279, 2437, 1311"
928,932,5,3,"1312, 2437, 2279"
933,974,42,4,"1312, 2176, 2437, 2279"
975,975,1,3,"1312, 2176, 2279"
976,982,7,4,"1312, 2176, 2437, 2279"
983,1009,27,3,"1312, 2176, 2279"
1010,1025,16,4,"1312, 2176, 2437, 2279"
1026,1026,1,3,"1312, 2176, 2279"
1027,1028,2,4,"1312, 2176, 2437, 2279"
1029,1076,48,3,"1312, 2176, 2279"
1077,1107,31,4,"1312, 2176, 2229, 2279"
1108,1288,181,3,"1312, 2176, 2279"
1289,1292,4,4,"1312, 2176, 2437, 2279"
1293,1403,111,3,"1312, 2176, 2279"
1404,1408,5,4,"1312, 2176, 2437, 2279"
1409,1423,15,3,"1312, 2176, 2279"
1424,1434,11,4,"1312, 2176, 2437, 2279"
1435,1437,3,3,"1312, 2176, 2437"
1438,1442,5,4,"1312, 2176, 2437, 2279"
1443,1443,1,3,"1312, 2176, 2437"
1444,1455,12,4,"1312, 2176, 2437, 2279"
1456,1467,12,3,"1312, 2176, 2437"
1468,1572,105,4,"1312, 2176, 2437, 2279"
1573,1578,6,3,"1312, 2176, 2279"
1579,1633,55,4,"1312, 2176, 2437, 2279"
1634,1907,274,3,"1312, 2437, 2279"
1908,1908,1,4,"1312, 2176, 2437, 2279"
1909,1923,15,3,"1312, 2437, 2279"
1924,1947,24,4,"1312, 2176, 2437, 2279"
1948,1971,24,3,"1312, 2176, 2279"
1972,1977,6,4,"1312, 2176, 2437, 2279"
1978,2049,72,3,"1312, 2176, 2279"
2050,2069,20,4,"1312, 2176, 2437, 2279"
2070,2135,66,3,"1312, 2176, 2279"
2136,2149,14,2,"2176, 2279"
2150,2175,26,3,"1312, 2176, 2279"
2176,2177,2,4,"1312, 2176, 2437, 2279"
2178,2214,37,3,"1312, 2176, 2279"
2215,2236,22,4,"1312, 2176, 2437, 2279"
2237,2275,39,3,"2176, 2437, 2279"
2276,2286,11,4,"1312, 2176, 2437, 2279"
