ion_id,start_frame,permeation_frame,permeation_cosine,avg_nonpermeation_cosine,empirical_p,total_cosines
1311,0,927,0.932,-0.075,0.019,928
1314,33,636,0.802,-0.048,0.077,637
1315,93,468,0.715,-0.059,0.119,436
1316,468,575,0.805,-0.012,0.165,483
1305,483,728,0.829,-0.051,0.08,261
1312,539,2286,0.684,-0.075,0.141,1804
2279,665,6798,0.792,-0.063,0.093,6260
2437,711,6726,0.694,-0.054,0.135,6062
2313,804,811,-0.212,0.126,0.686,101
2176,933,2571,0.404,-0.08,0.237,1768
2229,1077,1107,0.042,-0.047,0.46,175
2289,2442,6798,-0.993,-0.064,0.995,5722
2252,2601,2665,0.174,-0.069,0.347,224
2315,3944,6798,0.76,-0.07,0.094,4198
2250,5927,6798,-0.572,-0.047,0.777,2855
