ion_id,start_frame,permeation_frame,permeation_cosine,avg_nonpermeation_cosine,empirical_p,total_cosines
2400,40,594,-0.349,-0.222,0.519,508
2399,50,692,0.234,-0.23,0.218,564
2398,138,565,0.94,-0.256,0.021,375
2397,574,969,0.231,-0.171,0.269,367
2276,594,707,0.612,-0.147,0.15,106
2520,699,787,0.189,-0.168,0.337,82
2223,706,959,0.745,-0.033,0.106,244
2391,738,777,0.849,-0.119,0.25,11
2247,789,794,0.407,0.212,0.571,6
2381,939,946,-0.267,-0.382,0.571,6
2343,963,1186,0.944,-0.208,0.028,211
2230,1193,1225,0.979,-0.212,0.061,32
2515,1199,1219,0.314,0.127,0.409,21
